"","ID","Text","DataCount","NurseCount","DataProp","NurseProp","Delta"
"60",60,"Focus",1636,116,1.1586,0.2039,0.9547
"62",62,"Generosity",1,0,7e-04,0,7e-04
"65",65,"Goal-Setting",1,0,7e-04,0,7e-04
"66",66,"Highly Organized",8,0,0.0057,0,0.0057
"67",67,"Humility",19,0,0.0135,0,0.0135
"68",68,"Humor",3,0,0.0021,0,0.0021
"69",69,"Idea Exchange",2,0,0.0014,0,0.0014
"70",70,"Imagination",5,0,0.0035,0,0.0035
"71",71,"Independence",0,1,0,0.0018,-0.0018
"72",72,"Influential",11,0,0.0078,0,0.0078
"73",73,"Initiative",224,56,0.1586,0.0984,0.0602
"74",74,"Innovation",323,29,0.2288,0.051,0.1778
"75",75,"Insight",1269,0,0.8987,0,0.8987
"76",76,"Inspiration",9,4,0.0064,0.007,-6e-04
"77",77,"Inspiring",12,0,0.0085,0,0.0085
"78",78,"Integrity",234,8,0.1657,0.0141,0.1516
"80",80,"Interpersonal Relationships",0,3,0,0.0053,-0.0053
"82",82,"Interviewing",4,1,0.0028,0.0018,0.001
"83",83,"Introspection",1,0,7e-04,0,7e-04
"85",85,"Lateral Thinking",1,0,7e-04,0,7e-04
"86",86,"Listening",14,2,0.0099,0.0035,0.0064
"89",89,"Managing",138,32,0.0977,0.0562,0.0415
"93",93,"Mediation",5,1,0.0035,0.0018,0.0017
"94",94,"Meeting Management",3,0,0.0021,0,0.0021
"95",95,"Memory",4,0,0.0028,0,0.0028
"96",96,"Mentoring",46,12,0.0326,0.0211,0.0115
"98",98,"Motivated",160,61,0.1133,0.1072,0.00609999999999999
"99",99,"Motivating",1,0,7e-04,0,7e-04
"100",100,"Negotiation",6,3,0.0042,0.0053,-0.0011
"101",101,"Networking",7,0,0.005,0,0.005
"102",102,"Non-Verbal Communication",0,1,0,0.0018,-0.0018
"103",103,"Observation",12,29,0.0085,0.051,-0.0425
"106",106,"Open-Minded",6,0,0.0042,0,0.0042
"107",107,"Optimistic",2,0,0.0014,0,0.0014
"108",108,"Organization",945,157,0.6693,0.2759,0.3934
"110",110,"People Management",5,0,0.0035,0,0.0035
"111",111,"Performance Management",9,0,0.0064,0,0.0064
"113",113,"Persistence",2,0,0.0014,0,0.0014
"119",119,"Planning",111,261,0.0786,0.4587,-0.3801
"121",121,"Presentation Skills",163,2,0.1154,0.0035,0.1119
"122",122,"Prioritization",9,1,0.0064,0.0018,0.0046
"123",123,"Problem Solving",105,15,0.0744,0.0264,0.048
"124",124,"Process Improvement",168,5,0.119,0.0088,0.1102
"125",125,"Professional",1293,822,0.9157,1.4446,-0.5289
"126",126,"Project Management",51,2,0.0361,0.0035,0.0326
"127",127,"Public Speaking",5,0,0.0035,0,0.0035
"128",128,"Punctual",4,0,0.0028,0,0.0028
"131",131,"Recall",0,1,0,0.0018,-0.0018
"133",133,"Reliable",28,33,0.0198,0.058,-0.0382
"135",135,"Research",1755,119,1.2429,0.2091,1.0338
"136",136,"Resilience",7,1,0.005,0.0018,0.0032
"137",137,"Resilient",5,0,0.0035,0,0.0035
"139",139,"Responsible",384,137,0.272,0.2408,0.0312
"140",140,"Results-Oriented",8,0,0.0057,0,0.0057
"142",142,"Scheduling",12,19,0.0085,0.0334,-0.0249
"143",143,"Self-Awareness",1,0,7e-04,0,7e-04
"149",149,"Selling",16,2,0.0113,0.0035,0.0078
"150",150,"Sense of Urgency",7,6,0.005,0.0105,-0.0055
"151",151,"Sensitivity",1,12,7e-04,0.0211,-0.0204
"153",153,"Storytelling",21,0,0.0149,0,0.0149
"154",154,"Strategic Planning",6,1,0.0042,0.0018,0.0024
"155",155,"Streamlining",1,0,7e-04,0,7e-04
"157",157,"Supervising",4,32,0.0028,0.0562,-0.0534
"159",159,"Talent Management",1,0,7e-04,0,7e-04
"163",163,"Team Building",5,0,0.0035,0,0.0035
"167",167,"Time Management",16,24,0.0113,0.0422,-0.0309
"168",168,"Tolerance",2,37,0.0014,0.065,-0.0636
"172",172,"Training",330,192,0.2337,0.3374,-0.1037
"173",173,"Troubleshooting",17,4,0.012,0.007,0.005
"174",174,"Verbal Communication",121,6,0.0857,0.0105,0.0752
"175",175,"Versatility",2,0,0.0014,0,0.0014
"178",178,"Work-Life Balance",16,5,0.0113,0.0088,0.0025
"179",179,"Writing",108,12,0.0765,0.0211,0.0554
"181",181,"Written Communication",64,33,0.0453,0.058,-0.0127
